id,ad_creative_body,ad_delivery_start_time,ad_delivery_stop_time,page_name,punlisher_platforms,delivery_by_region,demographic_distribution,impressions_lower_bound,impressions_upper_bound,spend_lower_bound,spend_upper_bound,diferencia,translated_column,polaridad,sentimiento
1235200000000000.0, Potencia tu proceso educativo con tecnologia dedicada,02/03/2023,28/04/2023, Seguimientos Operacionales de México ," facebook"",""instagram ","[{""percentage"":""1"",""region"":""San Luis Potosi""}]","[{""percentage"":""0.000381"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.140378"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.000544"",""age"":""18-24"",""gender"":""unknown""},{""percentage"":""0.000493"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.000465"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.068315"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.018715"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.045089"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.098768"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.000213"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.068466"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.0875"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.077964"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.040259"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.09781"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.127507"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.127037"",""age"":""35-44"",""gender"":""female""},{""percentage"":""9.5E-5"",""age"":""65+"",""gender"":""unknown""}]",250000,299999,6000,6999,57,<pad> Boost your educational process with dedicated technology</s>,0.25,positivo
167251000000000.0, Avanza en tu proceso tecnologico y desarrolla ingeniosas aplicaciones,21/02/2022,17/04/2022, Robótica e Ingeniería México , facebook ,"[{""percentage"":""1"",""region"":""Distrito Federal""}]","[{""percentage"":""0.00217"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.002296"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.026112"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.092694"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.266626"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.355916"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.087451"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.166187"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.000548"",""age"":""25-34"",""gender"":""unknown""}]",100000,124999,2000,2499,55,<pad> Advance your technological process and develop ingenious applications</s>,0.5,positivo
886061000000000.0, Monitoree sus operaciones con los equipos de seguimiento operacional. Controle sus procesos de produccion desde un solo lugar para mejorar los resultados. Mejore los tiempos de entrega y optimice la cadena de suministro. ,23/08/2021,14/10/2021, México Automatización Industrial ," facebook"",""instagram ","[{""percentage"":""1"",""region"":""Tamaulipas""}]","[{""percentage"":""0.000177"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.128302"",""age"":""35-44"",""gender"":""female""},{""percentage"":""5.9E-5"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.03066"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.008314"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.053066"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.027712"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.00855"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.214269"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.00059"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.094163"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.145755"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.157783"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.029422"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.100236"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.00059"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.000354"",""age"":""65+"",""gender"":""unknown""}]",45000,49999,400,499,52,<pad> Monitor your operations with operational tracking teams. Control your production processes from one place to improve results. Improve delivery times and optimize the supply chain.</s>,0.0,neutro
1205280000000000.0, Comparte los beneficios de la Robotica,22/04/2021,26/05/2021, México Automatización Industrial , facebook ,"[{""percentage"":""1"",""region"":""Tamaulipas""}]","[{""percentage"":""0.000284"",""age"":""18-24"",""gender"":""unknown""},{""percentage"":""0.010496"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.115177"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.039433"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.33078"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.382695"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.009078"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.035461"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.073191"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.003404"",""age"":""35-44"",""gender"":""unknown""}]",4000,4999,0,99,34,<pad> Share the Benefits of Robotics</s>,0.0,neutro
620798000000000.0,"Optimiza tu litera de trabajo con la instalacion de equipos modernos y tecnologia de punta. Logra resultados sin precedentes, mas rapido y ahorrando tiempo. La automatizacion de procesos te llevara a un nivel superior de productividad ",25/11/2020,25/12/2020, Zed Automatización ," facebook"",""instagram ","[{""percentage"":""0.000204"",""region"":""Unknown""},{""percentage"":""0.113146"",""region"":""Aguascalientes""},{""percentage"":""0.073057"",""region"":""Guanajuato""},{""percentage"":""0.415751"",""region"":""Jalisco""},{""percentage"":""0.182743"",""region"":""Querétaro Arteaga""},{""percentage"":""0.147741"",""region"":""San Luis Potosi""},{""percentage"":""0.067359"",""region"":""Zacatecas""}]","[{""percentage"":""0.000202"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.001411"",""age"":""18-24"",""gender"":""unknown""},{""percentage"":""0.004435"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.004234"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.002419"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.001815"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.010484"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.198992"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.426815"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.125"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.185081"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.01754"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.007863"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.012097"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.001613"",""age"":""55-64"",""gender"":""female""}]",20000,24999,500,599,30,"<pad> Optimize your work bunk with the installation of modern equipment and state-of-the-art technology. It achieves unprecedented results, faster and saving time. Process automation will bring you to a higher level of productivity</s>",0.35,positivo
1448740000000000.0," Motiva a tu equipo, automatiza los procesos. Reduccion de mano de obra y ahorro de tiempo. Usa herramientas de automatizacion para simplificar parametros operacionales y aumentar el rendimiento en la produccion. ",22/12/2022,17/01/2023,Especialistas en Domótica ," facebook"",""instagram ","[{""percentage"":""0.000112"",""region"":""Unknown""},{""percentage"":""0.011924"",""region"":""Morelos""},{""percentage"":""0.01878"",""region"":""Yucatán""},{""percentage"":""0.05034"",""region"":""Veracruz""},{""percentage"":""0.005701"",""region"":""Tlaxcala""},{""percentage"":""0.027816"",""region"":""Tamaulipas""},{""percentage"":""0.015594"",""region"":""Tabasco""},{""percentage"":""0.05837"",""region"":""Sonora""},{""percentage"":""0.077876"",""region"":""Sinaloa""},{""percentage"":""0.018239"",""region"":""San Luis Potosi""},{""percentage"":""0.013526"",""region"":""Quintana Roo""},{""percentage"":""0.020214"",""region"":""Querétaro Arteaga""},{""percentage"":""0.041006"",""region"":""Puebla""},{""percentage"":""0.013079"",""region"":""Oaxaca""},{""percentage"":""0.05973"",""region"":""Nuevo León""},{""percentage"":""0.006986"",""region"":""Nayarit""},{""percentage"":""0.028952"",""region"":""Michoacán de Ocampo""},{""percentage"":""0.013302"",""region"":""Aguascalientes""},{""percentage"":""0.068747"",""region"":""State of Mexico""},{""percentage"":""0.083801"",""region"":""Jalisco""},{""percentage"":""0.015966"",""region"":""Hidalgo""},{""percentage"":""0.012427"",""region"":""Guerrero""},{""percentage"":""0.044173"",""region"":""Guanajuato""},{""percentage"":""0.011626"",""region"":""Durango""},{""percentage"":""0.101723"",""region"":""Distrito Federal""},{""percentage"":""0.006446"",""region"":""Colima""},{""percentage"":""0.032361"",""region"":""Coahuila de Zaragoza""},{""percentage"":""0.039367"",""region"":""Chihuahua""},{""percentage"":""0.016823"",""region"":""Chiapas""},{""percentage"":""0.005012"",""region"":""Campeche""},{""percentage"":""0.008514"",""region"":""Baja California Sur""},{""percentage"":""0.058612"",""region"":""Baja California""},{""percentage"":""0.012855"",""region"":""Zacatecas""}]","[{""percentage"":""7.6E-5"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.014043"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.00034"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.00121"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.002514"",""age"":""18-24"",""gender"":""unknown""},{""percentage"":""0.003043"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.002552"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.003837"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.005859"",""age"":""45-54"",""gender"":""female""},{""percentage"":""5.7E-5"",""age"":""65+"",""gender"":""unknown""},{""percentage"":""0.01977"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.387647"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.211552"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.145608"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.196791"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.003629"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.001361"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.000113"",""age"":""45-54"",""gender"":""unknown""}]",150000,174999,2000,2499,26,"<pad> Motivate your team, automate processes. Labor reduction and time saving. Use automation tools to simplify operational parameters and increase production performance.</s>",0.0,neutro
519369000000000.0," Productos para limpieza industrial al alcance de tu presupuesto! Redefine tu espacio, disfruta de la limpieza profesional y descubre los mejores productos para la limpieza. Mantenimiento industrial al alcance de tu presupuesto, aprovecha los precios y los beneficios para la mejor calidad. ",29/09/2022,23/10/2022, Robótica e Ingeniería México , facebook ,"[{""percentage"":""0.004254"",""region"":""Aguascalientes""},{""percentage"":""0.017652"",""region"":""Nayarit""},{""percentage"":""0.01191"",""region"":""Yucatán""},{""percentage"":""0.107826"",""region"":""Veracruz""},{""percentage"":""0.006806"",""region"":""Tlaxcala""},{""percentage"":""0.035942"",""region"":""Tamaulipas""},{""percentage"":""0.06678"",""region"":""Tabasco""},{""percentage"":""0.019779"",""region"":""Sonora""},{""percentage"":""0.023607"",""region"":""Sinaloa""},{""percentage"":""0.026797"",""region"":""San Luis Potosi""},{""percentage"":""0.010208"",""region"":""Quintana Roo""},{""percentage"":""0.007869"",""region"":""Querétaro Arteaga""},{""percentage"":""0.02786"",""region"":""Puebla""},{""percentage"":""0.065504"",""region"":""Oaxaca""},{""percentage"":""0.019353"",""region"":""Nuevo León""},{""percentage"":""0.011484"",""region"":""Morelos""},{""percentage"":""0.012973"",""region"":""Baja California""},{""percentage"":""0.045938"",""region"":""Michoacán de Ocampo""},{""percentage"":""0.04296"",""region"":""State of Mexico""},{""percentage"":""0.044662"",""region"":""Jalisco""},{""percentage"":""0.021055"",""region"":""Hidalgo""},{""percentage"":""0.058911"",""region"":""Guerrero""},{""percentage"":""0.022544"",""region"":""Guanajuato""},{""percentage"":""0.021268"",""region"":""Durango""},{""percentage"":""0.014037"",""region"":""Distrito Federal""},{""percentage"":""0.005317"",""region"":""Colima""},{""percentage"":""0.024458"",""region"":""Coahuila de Zaragoza""},{""percentage"":""0.02382"",""region"":""Chihuahua""},{""percentage"":""0.088686"",""region"":""Chiapas""},{""percentage"":""0.083156"",""region"":""Campeche""},{""percentage"":""0.009996"",""region"":""Baja California Sur""},{""percentage"":""0.016589"",""region"":""Zacatecas""}]","[{""percentage"":""0.000213"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.000852"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.113549"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.076694"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.031743"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.05049"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.111632"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.075628"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.12271"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.109288"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.135918"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.06945"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.069663"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.031317"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.000639"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.000213"",""age"":""45-54"",""gender"":""unknown""}]",7000,7999,300,399,24,"<pad> Industrial cleaning products within reach of your budget! Redefine your space, enjoy professional cleaning and discover the best cleaning products. Industrial maintenance within reach of your budget, take advantage of prices and benefits for the best quality.</s>",0.625,positivo
594820000000000.0, Robotica industrial para mejores resultados. Logra la eficiencia y optimizacion para tus procesos sin perder tiempo ,26/09/2021,19/10/2021, INSTAVI SA de CV , instagram ,"[{""percentage"":""0.006506"",""region"":""Tlaxcala""},{""percentage"":""0.013011"",""region"":""Guerrero""},{""percentage"":""0.011617"",""region"":""Tamaulipas""},{""percentage"":""0.018123"",""region"":""Sonora""},{""percentage"":""0.02184"",""region"":""Quintana Roo""},{""percentage"":""0.050186"",""region"":""Puebla""},{""percentage"":""0.023699"",""region"":""Michoacán de Ocampo""},{""percentage"":""0.013941"",""region"":""Hidalgo""},{""percentage"":""0.022305"",""region"":""Yucatán""},{""percentage"":""0.046468"",""region"":""Veracruz""},{""percentage"":""0.036245"",""region"":""Querétaro Arteaga""},{""percentage"":""0.039498"",""region"":""Oaxaca""},{""percentage"":""0.02881"",""region"":""Morelos""},{""percentage"":""0.095725"",""region"":""State of Mexico""},{""percentage"":""0.087361"",""region"":""Jalisco""},{""percentage"":""0.050186"",""region"":""Guanajuato""},{""percentage"":""0.015799"",""region"":""Coahuila de Zaragoza""},{""percentage"":""0.216543"",""region"":""Distrito Federal""},{""percentage"":""0.030204"",""region"":""Chihuahua""},{""percentage"":""0.015799"",""region"":""Chiapas""},{""percentage"":""0.004647"",""region"":""Campeche""},{""percentage"":""0.006041"",""region"":""Baja California Sur""},{""percentage"":""0.036245"",""region"":""Baja California""},{""percentage"":""0.004647"",""region"":""Nayarit""},{""percentage"":""0.005576"",""region"":""Colima""},{""percentage"":""0.011617"",""region"":""Aguascalientes""},{""percentage"":""0.008364"",""region"":""Tabasco""},{""percentage"":""0.009758"",""region"":""Sinaloa""},{""percentage"":""0.012546"",""region"":""San Luis Potosi""},{""percentage"":""0.038569"",""region"":""Nuevo León""},{""percentage"":""0.009294"",""region"":""Durango""},{""percentage"":""0.008829"",""region"":""Zacatecas""}]","[{""percentage"":""0.00046"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.030847"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.011971"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.090239"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.180479"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.016114"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.255525"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.179098"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.02256"",""age"":""18-24"",""gender"":""unknown""},{""percentage"":""0.001842"",""age"":""65+"",""gender"":""unknown""},{""percentage"":""0.120626"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.024401"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.017035"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.006906"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.003683"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.02256"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.001381"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.014273"",""age"":""45-54"",""gender"":""female""}]",2000,2999,0,99,23,<pad> Industrial Robotics for best results. Achieve efficiency and optimization for your processes without wasting time</s>,1.0,positivo
943677000000000.0, Aprovecha al maximo la automatizacion y libera tiempo para aumentar la velocidad de tu equipo! Inicia el cambio hacia una empresa mas eficiente ,09/07/2022,31/07/2022,Tecnología y Automatización Evalúa ," facebook"",""instagram"",""audience_network ","[{""percentage"":""0.000236"",""region"":""Unknown""},{""percentage"":""0.232333"",""region"":""Coahuila de Zaragoza""},{""percentage"":""0.767431"",""region"":""Nuevo León""}]","[{""percentage"":""0.000718"",""age"":""65+"",""gender"":""unknown""},{""percentage"":""0.056473"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.062455"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.072505"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.093802"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.063891"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.150993"",""age"":""18-24"",""gender"":""female""},{""percentage"":""0.064609"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.062934"",""age"":""35-44"",""gender"":""male""},{""percentage"":""0.001196"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.11486"",""age"":""18-24"",""gender"":""male""},{""percentage"":""0.055276"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.084949"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.112228"",""age"":""55-64"",""gender"":""male""},{""percentage"":""0.000718"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.000479"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.000718"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.001196"",""age"":""18-24"",""gender"":""unknown""}]",4000,4999,0,99,22,<pad> Make the most of automation and free up time to increase the speed of your team! Start the shift to a more efficient company</s>,0.5,positivo
157068000000000.0, Optimiza la seguridad con el equipo de seguirar operacional,18/10/2021,08/11/2021,Grupo Giz ," facebook"",""instagram ","[{""percentage"":""3.4E-5"",""region"":""Unknown""},{""percentage"":""0.999966"",""region"":""Jalisco""}]","[{""percentage"":""3.5E-5"",""age"":""13-17"",""gender"":""male""},{""percentage"":""0.123173"",""age"":""45-54"",""gender"":""male""},{""percentage"":""0.068578"",""age"":""45-54"",""gender"":""female""},{""percentage"":""0.065373"",""age"":""65+"",""gender"":""female""},{""percentage"":""0.06724"",""age"":""25-34"",""gender"":""female""},{""percentage"":""0.112043"",""age"":""25-34"",""gender"":""male""},{""percentage"":""0.084041"",""age"":""55-64"",""gender"":""female""},{""percentage"":""0.114508"",""age"":""65+"",""gender"":""male""},{""percentage"":""0.14413"",""age"":""55-64"",""gender"":""male""},{""percentage"":""3.5E-5"",""age"":""13-17"",""gender"":""female""},{""percentage"":""0.073368"",""age"":""35-44"",""gender"":""female""},{""percentage"":""0.001515"",""age"":""55-64"",""gender"":""unknown""},{""percentage"":""0.001726"",""age"":""65+"",""gender"":""unknown""},{""percentage"":""0.003452"",""age"":""35-44"",""gender"":""unknown""},{""percentage"":""0.002289"",""age"":""45-54"",""gender"":""unknown""},{""percentage"":""0.002325"",""age"":""25-34"",""gender"":""unknown""},{""percentage"":""0.13617"",""age"":""35-44"",""gender"":""male""}]",40000,44999,6000,6999,21,<pad> Optimizes security with operational tracking equipment</s>,0.0,neutro
